Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
1,Max Aarons,eng ENG,DF,Norwich City,21,2000,34,32,2881,32.0,0,2,0,0,0,8,0,0.00,0.06,0.06,0.00,0.06,0.7,0.7,1.4,2.1,0.02,0.04,0.06,0.02,0.06,Matches,774cf58b
2,Che Adams,sct SCO,FW,Southampton,25,1996,30,23,2039,22.7,7,3,7,0,0,0,0,0.31,0.13,0.44,0.31,0.44,7.1,7.1,2.6,9.7,0.31,0.12,0.43,0.31,0.43,Matches,f2bf1b0f
3,Rayan Aït Nouri,fr FRA,DF,Wolves,20,2001,23,20,1828,20.3,1,2,1,0,0,4,0,0.05,0.10,0.15,0.05,0.15,0.7,0.7,1.3,2.1,0.04,0.07,0.10,0.04,0.10,Matches,9b398aea
4,Kristoffer Ajer,no NOR,DF,Brentford,23,1998,24,23,1995,22.2,1,3,1,0,0,5,0,0.05,0.14,0.18,0.05,0.18,0.8,0.8,1.4,2.2,0.04,0.06,0.10,0.04,0.10,Matches,a8c0acb7
5,Nathan Aké,nl NED,DF,Manchester City,26,1995,14,10,923,10.3,2,0,2,0,0,0,0,0.20,0.00,0.20,0.20,0.20,1.1,1.1,0.5,1.6,0.11,0.05,0.16,0.11,0.16,Matches,eaeca114
6,Marc Albrighton,eng ENG,FWDF,Leicester City,31,1989,17,11,1132,12.6,1,2,1,0,0,3,0,0.08,0.16,0.24,0.08,0.24,0.5,0.5,1.7,2.2,0.04,0.13,0.18,0.04,0.18,Matches,b827d5b3
7,Thiago Alcántara,es ESP,MF,Liverpool,30,1991,25,17,1534,17.0,1,4,1,0,0,2,0,0.06,0.23,0.29,0.06,0.29,1.9,1.9,2.3,4.2,0.11,0.14,0.25,0.11,0.25,Matches,77e84962
8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,32,32,2853,31.7,2,12,2,0,0,2,0,0.06,0.38,0.44,0.06,0.44,2.6,2.6,11.2,13.8,0.08,0.35,0.44,0.08,0.44,Matches,cd1acf9d
9,Alisson,br BRA,GK,Liverpool,28,1992,36,36,3240,36.0,0,1,0,0,0,0,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.4,0.4,0.00,0.01,0.01,0.00,0.01,Matches,7a2e46a8
10,Allan,br BRA,MF,Everton,30,1991,28,25,2183,24.3,0,2,0,0,0,7,1,0.00,0.08,0.08,0.00,0.08,0.2,0.2,0.9,1.1,0.01,0.04,0.04,0.01,0.04,Matches,cc700722
11,Dele Alli,eng ENG,MF,Everton,25,1996,11,1,338,3.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.02,0.09,0.11,0.02,0.11,Matches,cea4ee8f
12,Dele Alli,eng ENG,MFFW,Tottenham,25,1996,10,8,657,7.3,1,0,0,1,1,1,0,0.14,0.00,0.14,0.00,0.00,1.5,0.7,0.8,1.5,0.20,0.11,0.31,0.10,0.21,Matches,cea4ee8f
13,Miguel Almirón,py PAR,MFFW,Newcastle Utd,27,1994,30,19,1716,19.1,1,0,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,2.1,2.1,0.7,2.7,0.11,0.03,0.14,0.11,0.14,Matches,862a1c15
14,Marcos Alonso,es ESP,DF,Chelsea,30,1990,28,25,2167,24.1,4,4,4,0,0,8,0,0.17,0.17,0.33,0.17,0.33,3.3,3.3,4.6,7.9,0.14,0.19,0.33,0.14,0.33,Matches,f4290206
15,Steven Alzate,co COL,MF,Brighton,22,1998,9,5,404,4.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.02,0.04,0.06,0.02,0.06,Matches,ad1f61f3
16,Daniel Amartey,gh GHA,DF,Leicester City,26,1994,28,23,2123,23.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,Matches,1a4ef233
17,Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,34,32,2916,32.4,0,3,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,0.6,0.6,1.8,2.3,0.02,0.05,0.07,0.02,0.07,Matches,e34fc66d
18,Michail Antonio,jm JAM,FW,West Ham,31,1990,36,34,2971,33.0,10,8,10,0,1,8,1,0.30,0.24,0.55,0.30,0.55,11.0,10.7,6.7,17.4,0.33,0.20,0.54,0.33,0.53,Matches,ac05f970
19,Cameron Archer,eng ENG,MFFW,Aston Villa,19,2001,3,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.07,0.00,0.07,0.07,0.07,Matches,05e8ca6d
