Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Succ%,Dribbles_#Pl,Dribbles_Megs,Carries,Carries_TotDist,Carries_PrgDist,Carries_Prog,Carries_Final3rd,Carries_CPA,Carries_Mis,Carries_Dis,Rec_Targ,Rec,Rec%,Rec_Prog
1,Max Aarons,eng ENG,DF,Norwich City,22-052,2000,23.6,1331,118,518,555,353,22,1096,27,59,45.8,28,4,770,4531,2766,123,38,10,18,22,818,739,90.3,30
2,Che Adams,sct SCO,FW,Southampton,25-227,1996,14.4,476,23,74,210,215,62,466,7,17,41.2,9,0,300,1153,537,26,11,6,37,35,627,319,50.9,87
3,Rayan Aït Nouri,fr FRA,DF,Wolves,20-264,2001,13.3,849,45,314,322,252,28,705,26,46,56.5,30,2,492,2331,1512,77,13,10,21,21,533,467,87.6,32
4,Kristoffer Ajer,no NOR,DF,Brentford,23-314,1998,12.3,618,79,288,272,91,17,535,8,10,80,8,0,297,1770,1000,33,9,0,9,8,303,267,88.1,12
5,Nathan Aké,nl NED,DF,Manchester City,27-007,1995,7.5,652,52,242,380,83,6,632,0,2,0,0,0,479,2514,1692,54,9,0,2,1,528,507,96,2
6,Marc Albrighton,eng ENG,FWDF,Leicester City,32-099,1989,8.1,382,24,96,167,137,8,335,14,26,53.8,15,2,223,890,363,17,6,2,7,11,295,215,72.9,21
7,Thiago Alcántara,es ESP,MF,Liverpool,30-320,1991,9.9,955,24,168,619,233,22,945,6,11,54.5,6,0,707,3130,1617,89,26,4,7,8,741,707,95.4,22
8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23-141,1998,22.7,2162,59,437,1017,800,66,1766,21,32,65.6,21,0,1229,4466,2383,112,42,10,15,20,1437,1342,93.4,95
9,Alisson,br BRA,GK,Liverpool,29-146,1992,24,965,723,958,8,0,0,814,1,2,50,1,0,559,1969,1056,0,0,0,1,0,549,544,99.1,0
10,Allan,br BRA,MF,Everton,31-048,1991,18.6,944,56,268,555,175,9,896,13,19,68.4,13,1,574,2910,1516,76,22,2,16,22,540,502,93,15
11,Dele Alli,eng ENG,MF,Everton,25-320,1996,1.1,76,6,11,40,31,7,73,3,4,75,3,1,46,212,113,7,3,1,5,5,59,50,84.7,12
12,Dele Alli,eng ENG,MFFW,Tottenham,25-320,1996,7.3,331,23,87,172,97,20,321,5,18,27.8,7,2,213,908,446,17,6,0,12,18,262,199,76,31
13,Miguel Almirón,py PAR,MF,Newcastle Utd,28-015,1994,11,427,12,95,175,188,32,423,9,20,45,13,1,294,1927,926,47,11,4,15,23,358,255,71.2,32
14,Marcos Alonso,es ESP,DF,Chelsea,31-059,1990,16.1,1137,61,329,395,455,42,943,11,26,42.3,12,1,630,2942,1660,83,15,8,18,21,733,632,86.2,61
15,Steven Alzate,co COL,MF,Brighton,23-170,1998,3.1,195,14,60,108,39,4,193,1,2,50,1,1,126,553,303,15,8,1,3,3,125,115,92,4
16,Daniel Amartey,gh GHA,DF,Leicester City,27-066,1994,12.7,852,138,490,387,17,0,840,4,6,66.7,4,0,589,2445,1463,27,4,0,4,2,621,610,98.2,0
17,Joachim Andersen,dk DEN,DF,Crystal Palace,25-270,1996,20.4,1601,333,973,676,46,16,1550,4,6,66.7,4,0,1012,5747,2800,45,4,2,1,4,1163,1149,98.8,2
18,Michail Antonio,jm JAM,FW,West Ham,31-334,1990,24.4,904,15,60,345,556,130,876,27,63,42.9,30,4,665,3286,1896,99,30,23,96,72,1294,691,53.4,197
19,Cameron Archer,eng ENG,MFFW,Aston Villa,20-219,2001,0.3,12,0,1,2,9,3,12,1,2,50,1,0,7,15,0,0,0,0,0,1,9,6,66.7,2
20,Alphonse Areola,fr FRA,GK,West Ham,28-363,1993,1,42,40,42,0,0,0,25,0,0,,0,0,17,49,13,0,0,0,0,0,20,20,100,0
21,Adam Armstrong,eng ENG,FW,Southampton,25-015,1997,13.3,402,6,37,161,239,68,376,14,29,48.3,15,1,281,1658,927,56,17,15,25,21,536,282,52.6,90
22,Stuart Armstrong,sct SCO,MF,Southampton,29-332,1992,6.8,332,16,61,163,141,19,327,7,16,43.8,8,0,241,1695,898,37,14,3,4,7,260,227,87.3,26
23,Kepa Arrizabalaga,es ESP,GK,Chelsea,27-145,1994,4,149,130,149,0,0,0,120,0,0,,0,0,85,253,117,0,0,0,0,0,81,81,100,0
24,Harrison Ashby,sct SCO,DF,West Ham,20-103,2001,0.1,9,1,3,1,5,0,8,0,0,,0,0,4,21,5,1,0,0,0,0,8,6,75,0
25,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32-252,1989,11.5,322,5,34,141,167,55,313,2,6,33.3,3,0,169,1024,600,29,11,9,20,5,443,225,50.8,56
26,Jordan Ayew,gh GHA,FW,Crystal Palace,30-167,1991,17,889,11,117,483,381,62,883,31,61,50.8,32,5,693,4260,2450,119,38,20,52,58,844,650,77,78
27,Luke Ayling,eng ENG,DF,Leeds United,30-184,1991,16,1219,162,664,501,146,18,1130,15,29,51.7,17,3,752,4565,2706,67,20,1,16,10,821,781,95.1,19
28,César Azpilicueta,es ESP,DF,Chelsea,32-181,1989,15.4,1274,92,406,580,335,38,1150,9,11,81.8,9,0,745,2968,1629,84,17,5,8,5,910,855,94,39
29,Daniel Bachmann,at AUT,GK,Watford,27-231,1994,11,362,309,359,3,0,0,249,1,1,100,1,0,163,889,567,0,0,0,0,0,135,134,99.3,0
30,Leon Bailey,jm JAM,FWMF,Aston Villa,24-200,1997,5.1,235,6,32,83,139,21,219,11,18,61.1,12,1,179,1052,534,34,5,6,14,20,215,164,76.3,33
