Rk,Player,Nation,Pos,Squad,Age,Born,90s,TotalCmp,TotalAtt,TotalCmp%,TotalDist,TotalPrgDist,ShortCmp,ShortAtt,ShortCmp%,MedCmp,MedAtt,MedCmp%,LongCmp,LongAtt,LongCmp%,Ast,xA,A-xA,KP,FinalThird,PPA,CrsPA,Prog
1,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32-240,1989,11.5,12.5,17.7,70.6,174.4,33.3,8.09,10.1,80.2,3.48,5.39,64.5,0.7,1.22,57.1,0.09,0.07,0.02,0.78,0.35,0.87,0.09,1.13
2,Folarin Balogun,eng ENG,FW,Arsenal,20-225,2001,0.8,5,10,50,75,7.5,2.5,5,50,2.5,3.75,66.7,0,1.25,0,0,0,0,0,0,0,0,0
3,Reiss Nelson,eng ENG,FW,Arsenal,22-065,1999,0.2,50,55,90.9,585,85,30,30,100,15,15,100,0,0,,0,0,0,5,5,0,0,5
4,Alexandre Lacazette,fr FRA,FWMF,Arsenal,30-261,1991,11.5,19.4,25.9,74.8,279.1,65,11.5,14.3,80,4.96,7.04,70.4,1.57,2.35,66.7,0.35,0.1,0.24,1.3,1.65,1.3,0.09,2.52
5,Martinelli,br BRA,FWMF,Arsenal,20-240,2001,10.4,18.4,26.7,68.7,313,52.2,8.56,10.8,79.5,7.02,8.94,78.5,2.02,4.62,43.8,0.19,0.1,0.1,1.54,0.29,0.67,0.29,0.96
6,Nicolas Pépé,ci CIV,FWMF,Arsenal,26-260,1995,5.6,35.2,45.4,77.6,569.6,139.8,18.9,22.1,85.5,12.1,14.6,82.9,2.86,6.43,44.4,0.18,0.29,-0.11,2.14,1.43,1.07,0.36,1.79
7,Bukayo Saka,eng ENG,FWMF,Arsenal,20-161,2001,18.2,27.5,36.7,75,422.1,99.9,15.4,18.5,83.4,9.29,11.5,80.5,1.87,3.79,49.3,0.22,0.19,0.03,1.76,1.15,1.21,0.33,2.42
8,Eddie Nketiah,eng ENG,MFFW,Arsenal,22-259,1999,0.7,42.9,48.6,88.2,700,114.3,20,21.4,93.3,21.4,24.3,88.2,1.43,2.86,50,0,0.43,-0.43,2.86,0,2.86,0,2.86
9,Emile Smith Rowe,eng ENG,MFFW,Arsenal,21-200,2000,14.5,31.9,37,86,488.9,105.3,17.5,19,92,11.6,12.7,91.3,1.72,3.79,45.5,0.14,0.13,0.01,1.52,1.38,1.31,0,2.9
10,Mohamed Elneny,eg EGY,MF,Arsenal,29-217,1992,2,53.5,58,92.2,993.5,199.5,23,24.5,93.9,20,21.5,93,9,9,100,0.5,0.1,0.4,2,8,0.5,0,1
11,Ainsley Maitland-Niles,eng ENG,MF,Arsenal,24-168,1997,3,35,45.3,77.2,641,201,16,19.7,81.4,15.7,18.3,85.5,3.33,6.33,52.6,0,0.1,-0.1,1,4,1,0,4.33
12,Thomas Partey,gh GHA,MF,Arsenal,28-245,1993,15.7,43.2,50.3,85.9,842.6,215.6,17.7,19.7,89.7,17.7,19.9,89.1,7.2,9.55,75.3,0,0.04,-0.04,0.64,5.41,0.51,0,5.22
13,Albert Sambi Lokonga,be BEL,MF,Arsenal,22-114,1999,10.1,53.1,59.5,89.2,966.4,220.2,23.3,25.2,92.2,21.9,23.7,92.5,6.73,9.11,73.9,0,0.06,-0.06,1.29,4.85,1.39,0.1,4.36
14,Granit Xhaka,ch SUI,MF,Arsenal,29-139,1992,10.2,45.4,52.7,86.1,837.9,236.7,19.1,21.1,90.7,19.4,21.9,88.8,5.98,7.84,76.3,0.1,0.07,0.03,0.88,6.57,1.08,0,5.98
15,Martin Ødegaard,no NOR,MF,Arsenal,23-058,1998,15.3,42.7,51.4,83.1,749.4,163.1,20.9,23.7,88.4,15.6,17.7,88.2,5.03,7.65,65.8,0.26,0.24,0.03,2.48,2.61,1.96,0.07,4.71
16,Calum Chambers,eng ENG,DF,Arsenal,27-024,1995,1.9,42.6,51.6,82.7,788.9,257.9,18.4,20,92.1,18.9,22.1,85.7,5.26,8.95,58.8,0,0.05,-0.05,0.53,2.63,0.53,0.53,4.74
17,Gabriel Dos Santos,br BRA,DF,Arsenal,24-056,1997,18.4,48.9,54.9,89,1029.1,270.9,14.2,15,94.6,27.1,28.3,95.6,7.17,10.7,67.3,0,0.04,-0.04,0.22,2.45,0.05,0,1.74
18,Rob Holding,eng ENG,DF,Arsenal,26-146,1995,4.8,41.9,48.3,86.6,865.4,183.8,12.3,13.3,92.2,23.1,24.4,94.9,6.04,9.79,61.7,0,0,0,0,0.63,0,0,1.46
19,Sead Kolašinac,ba BIH,DF,Arsenal,28-238,1993,1,10,13,76.9,167,64,4,4,100,5,8,62.5,1,1,100,0,0,0,0,1,0,0,0
20,Pablo Marí,es ESP,DF,Arsenal,28-166,1993,2,39,43,90.7,820,265.5,11.5,13,88.5,20,20.5,97.6,7,8.5,82.4,0,0.05,-0.05,0.5,4.5,0,0,4
21,Cédric Soares,pt POR,DF,Arsenal,30-166,1991,3.4,30.9,39.4,78.4,536.2,197.6,13.5,14.7,92,13.5,17.1,79.3,3.24,5.59,57.9,0,0.03,-0.03,0.59,1.76,1.47,0.88,2.06
22,Nuno Tavares,pt POR,DF,Arsenal,22-018,2000,6.9,47.8,58,82.5,862.3,235.1,22.3,24.9,89.5,20,22.8,87.9,4.93,7.83,63,0.14,0.12,0.03,0.58,1.74,0.87,0.43,1.88
23,Kieran Tierney,sct SCO,DF,Arsenal,24-253,1997,15.3,38,50,76.1,723.1,226.9,15,17,88.1,18.8,22.3,84.5,3.73,8.82,42.2,0.2,0.08,0.12,1.05,3.07,1.05,0.72,3.07
24,Takehiro Tomiyasu,jp JPN,DF,Arsenal,23-100,1998,15.4,46.4,58.4,79.5,832.9,309,21.3,24.4,87.2,19.4,24.1,80.6,5.06,7.99,63.4,0.06,0.04,0.03,0.65,3.77,0.97,0.78,2.99
25,Ben White,eng ENG,DF,Arsenal,24-128,1997,20,43.8,51.5,85,906.2,284.4,14.1,15.5,91,22.9,24.9,92,6.35,9.95,63.8,0,0.02,-0.02,0.35,3.35,0.15,0,2.4
26,Bernd Leno,de GER,GK,Arsenal,29-346,1992,3,19.3,29,66.7,514.3,308.7,6.33,6.33,100,6.67,6.67,100,6,15.7,38.3,0,0,0,0,0.33,0,0,0
27,Aaron Ramsdale,eng ENG,GK,Arsenal,23-275,1998,19,23.7,35.2,67.4,710.5,443.4,5.05,5.11,99,10.5,10.6,99,8.11,19.4,41.8,0,0,0,0,0.89,0,0,0
28,Philippe Coutinho,br BRA,FW,Aston Villa,29-246,1992,1.9,20,28.9,69.1,301.1,101.6,11.6,14.7,78.6,5.79,7.37,78.6,1.58,2.63,60,1.05,0.42,0.63,1.58,2.11,1.05,0.53,2.11
29,Keinan Davis,eng ENG,FW,Aston Villa,24-000,1998,0.1,30,30,100,490,300,10,10,100,20,20,100,0,0,,0,0,0,0,0,0,0,10
30,Danny Ings,eng ENG,FW,Aston Villa,29-205,1992,12.4,11.4,17.5,65,155.2,41,7.02,9.35,75,2.74,4.44,61.8,0.81,1.69,47.6,0.16,0.06,0.1,0.4,0.65,0.65,0.16,1.37
31,Wesley Moraes,br BRA,FW,Aston Villa,25-079,1996,0,2,2,100,19,10,2,2,100,0,0,,0,0,,0,0,0,0,0,0,0,1
32,Jaden Philogene Bidace,eng ENG,FW,Aston Villa,19-271,2002,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
33,Trézéguet,eg EGY,FW,Aston Villa,27-135,1994,0.1,60,60,100,970,370,50,50,100,0,0,,10,10,100,0,0,0,0,20,10,0,10
34,Ollie Watkins,eng ENG,FW,Aston Villa,26-045,1995,18,17.6,23.8,73.8,246.5,44.9,10.8,13.4,80.5,4.89,6.78,72.1,0.89,1.5,59.3,0.06,0.06,-0.01,0.94,1.06,0.67,0,1.61
35,Leon Bailey,jm JAM,FWMF,Aston Villa,24-188,1997,4.7,18.5,27.9,66.4,333.4,75.3,8.3,10.2,81.3,6.6,9.15,72.1,2.98,7.02,42.4,0.43,0.06,0.36,1.06,0.64,1.28,0.43,2.55
36,Emi Buendía,ar ARG,FWMF,Aston Villa,25-050,1996,14.4,30,39.1,76.7,484.7,137.9,15.5,18.7,82.9,10.6,12.7,83.1,2.78,5.14,54.1,0.21,0.17,0.04,1.74,2.85,1.88,0.21,4.79
37,Anwar El Ghazi,nl NED,FWMF,Aston Villa,26-286,1995,4.3,19.1,26.7,71.3,293.5,86,11.6,13.5,86.2,6.05,9.53,63.4,1.16,1.86,62.5,0.23,0.09,0.14,0.93,0.23,1.4,0.93,1.63
38,Cameron Archer,eng ENG,MFFW,Aston Villa,20-207,2001,0.3,16.7,16.7,100,303.3,93.3,3.33,3.33,100,13.3,13.3,100,0,0,,0,0,0,0,0,3.33,0,10
39,Carney Chukwuemeka,eng ENG,MFFW,Aston Villa,18-037,2004,2.1,25.7,33.3,77.1,404.3,47.1,12.4,15.7,78.8,11.4,12.9,88.9,1.43,1.43,100,0.48,0.48,0,0.95,0.48,0,0,0.48
40,Jacob Ramsey,eng ENG,MFFW,Aston Villa,20-261,2001,14.8,29.5,35.1,83.8,526.5,144.7,13.2,15,88.3,12.4,13.9,88.8,3.38,4.53,74.6,0.07,0.09,-0.03,0.68,3.24,0.81,0.07,3.85
41,Bertrand Traoré,bf BFA,MFFW,Aston Villa,26-160,1995,1.7,25.3,32.9,76.8,488.2,121.8,10.6,12.4,85.7,10.6,12.9,81.8,4.12,4.71,87.5,0,0,0,0,2.35,2.35,0,5.29
42,Ashley Young,eng ENG,FWDF,Aston Villa,36-219,1985,8.3,27.8,36.4,76.5,510.1,156.7,13.3,15.7,84.6,10.6,13.1,80.7,3.73,6.39,58.5,0.24,0.02,0.22,0.84,2.53,0.6,0,2.77
43,Douglas Luiz,br BRA,MF,Aston Villa,23-280,1998,16.7,35.8,44.4,80.7,712.6,193.4,14,15.7,88.9,14.4,16.9,85.2,6.77,10.3,65.7,0.18,0.11,0.07,1.44,2.51,0.66,0,3.17
44,John McGinn,sct SCO,MF,Aston Villa,27-118,1994,18.4,28.4,38.5,73.8,664.8,261.1,9.18,11.3,81.6,12.3,14.8,83.2,6.63,11.7,56.7,0.11,0.15,-0.04,1.47,4.84,1.63,0.49,5.05
45,Marvelous Nakamba,zw ZIM,MF,Aston Villa,28-025,1994,8.4,32.1,37.3,86.3,541.8,149,15.2,17.3,88.3,14,15.6,90.1,2.38,3.57,66.7,0,0.01,-0.01,0.36,2.62,0.12,0,2.98
46,Morgan Sanson,fr FRA,MF,Aston Villa,27-179,1994,2.5,35.6,47.6,74.8,666,160.4,16.4,17.6,93.2,16,20.8,76.9,2.8,6.8,41.2,0,0,0,0,4.8,0.4,0,2.8
47,Matty Cash,pl POL,DF,Aston Villa,24-190,1997,21.8,28.9,41.8,69.3,559.5,230.4,12.2,14,87.2,12,15.4,78,4.13,10.8,38.1,0.05,0.06,-0.01,0.64,1.97,0.83,0.37,2.75
48,Calum Chambers,eng ENG,DF,Aston Villa,27-024,1995,0,0,1,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
49,Lucas Digne,fr FRA,DF,Aston Villa,28-208,1993,3,38,53.3,71.3,628.7,297.7,21.7,23,94.2,11.3,18.3,61.8,4.33,8.33,52,0.33,0.13,0.2,1.67,1.67,0.33,0.33,4.33
50,Kortney Hause,eng ENG,DF,Aston Villa,26-212,1995,4.4,36.8,46.8,78.6,797.5,225.5,12,13.2,91.4,17,20.5,83.3,7.5,12.3,61.1,0,0,0,0,1.82,0,0,1.36
51,Ezri Konsa,eng ENG,DF,Aston Villa,24-113,1997,20,28.2,33,85.6,566.4,173,8.25,9.2,89.7,15.8,17.1,92.4,3.7,5.9,62.7,0,0.01,-0.01,0.15,0.95,0,0,1.25
52,Tyrone Mings,eng ENG,DF,Aston Villa,28-337,1993,19.4,35.5,44.8,79.2,789.2,275.9,8.92,10.8,82.8,20.1,22.2,90.5,6.13,11.1,55.3,0.05,0.04,0.02,0.26,2.63,0.31,0.05,2.42
53,Matt Targett,eng ENG,DF,Aston Villa,26-148,1995,15.9,37.6,50.6,74.3,733.8,350.3,15.3,18.1,84.7,17.1,20.6,83.2,4.65,9.56,48.7,0.06,0.14,-0.08,1.38,4.21,1.45,0.5,5.85
54,Axel Tuanzebe,eng ENG,DF,Aston Villa,24-091,1997,5.6,35.2,40.5,86.8,765.5,199.3,8.93,9.82,90.9,18.6,20.5,90.4,6.96,9.46,73.6,0,0,0,0,0.54,0,0,1.07
55,Emiliano Martínez,ar ARG,GK,Aston Villa,29-164,1992,21,22.1,31.5,70.2,684.3,397,3.57,3.62,98.7,10.2,10.2,100,8.24,17.5,47,0,0,0,0,0.38,0,0,0
56,Jed Steer,eng ENG,GK,Aston Villa,29-143,1992,1,27,36,75,759,560,2,2,100,16,16,100,9,18,50,0,0,0,0,0,0,0,0
57,Bryan Mbeumo,fr FRA,FW,Brentford,22-190,1999,19.8,16.6,25.3,65.6,273.2,54.7,9.14,11.9,77,5,7.32,68.3,1.87,3.79,49.3,0.15,0.11,0.05,1.11,0.76,0.86,0.2,1.41
58,Ivan Toney,eng ENG,FW,Brentford,25-334,1996,21,13,22.8,57.1,189.6,68.1,7.86,11.7,67.1,3.76,6.95,54.1,0.86,2.19,39.1,0.1,0.17,-0.08,1.05,1.76,0.76,0.05,2.29
59,Marcus Forss,fi FIN,FWMF,Brentford,22-240,1999,2.3,10.4,17.8,58.5,165.2,47.8,6.96,9.57,72.7,1.3,4.78,27.3,1.74,2.61,66.7,0.43,0,0.43,0,1.74,0.43,0,2.17
60,Yoane Wissa,cd COD,FWMF,Brentford,25-163,1996,6.6,12.3,18,68.1,187,37.4,7.42,9.09,81.7,3.48,5.45,63.9,1.06,1.67,63.6,0,0.03,-0.03,0.45,0.61,0.61,0.15,1.21
61,Josh Dasilva,eng ENG,MFFW,Brentford,23-113,1998,0.7,18.6,31.4,59.1,387.1,102.9,7.14,8.57,83.3,8.57,14.3,60,2.86,7.14,40,0,0,0,0,2.86,0,0,1.43
62,Shandon Baptiste,gd GRN,MF,Brentford,23-311,1998,9.1,22.9,27.8,82.2,389,77.6,11.3,12.9,88,8.68,10.2,84.9,2.09,3.19,65.5,0.11,0.04,0.07,0.77,2.31,0.44,0.11,1.76
63,Mads Bidstrup,dk DEN,MF,Brentford,20-353,2001,0.5,16,22,72.7,284,34,10,12,83.3,4,8,50,2,2,100,0,0,0,0,0,0,0,0
64,Vitaly Janelt,de GER,MF,Brentford,23-279,1998,15.7,30.1,39.9,75.6,572.2,193.2,11.9,14.2,83.9,13.4,16.2,83.1,3.82,7.58,50.4,0,0.1,-0.1,0.89,3.18,0.96,0.19,4.27
65,Mathias Jensen,dk DEN,MF,Brentford,26-043,1996,11.4,32.2,45.3,71.1,711.5,228.3,12.8,15,85.4,10.8,14,76.9,8.33,15.1,55.2,0.09,0.25,-0.16,2.46,3.51,1.49,0.79,3.68
66,Christian Nørgaard,dk DEN,MF,Brentford,27-340,1994,23.6,39.1,49.6,78.7,713.5,214.7,16.9,20.5,82.2,16.9,20,84.5,4.62,7.29,63.4,0.08,0.08,0,0.72,4.58,0.68,0.08,4.96
67,Frank Onyeka,ng NGA,MF,Brentford,24-043,1998,11.2,23,28.7,80.4,396,82.7,10.4,12.6,82.3,10,11.5,86.8,2.32,3.3,70.3,0,0.02,-0.02,0.36,1.61,0.54,0,1.96
68,Saman Ghoddos,ir IRN,MFDF,Brentford,28-160,1993,4.7,27,38.9,69.4,499.6,168.7,13.2,17.4,75.6,8.72,11.7,74.5,4.47,8.09,55.3,0.21,0.26,-0.04,1.28,2.55,2.13,0.43,3.62
69,Kristoffer Ajer,no NOR,DF,Brentford,23-302,1998,11.3,25.5,37.9,67.3,464.3,211.7,10,12.7,79,12.3,16.9,72.8,2.65,5.84,45.5,0,0.05,-0.05,0.18,1.77,0.62,0.09,2.83
70,Mads Bech Sørensen,dk DEN,DF,Brentford,23-037,1999,4.2,42.6,56.9,74.9,854,351.9,13.8,16.2,85.3,22.4,26.4,84.7,5.71,12.4,46.2,0,0.05,-0.05,0.71,3.1,0.48,0.48,1.19
71,Sergi Canós,es ESP,DF,Brentford,25-011,1997,19.9,19.5,32.9,59.4,347.9,152.1,9.8,12.6,77.7,7.09,10.6,66.8,2.36,7.19,32.9,0.1,0.08,0.03,0.65,1.81,1.11,0.35,3.47
72,Charlie Goode,eng ENG,DF,Brentford,26-194,1995,5,38,60,63.3,943.4,291,7,10.6,66,19.4,28,69.3,11.4,19.8,57.6,0,0.06,-0.06,1.4,3.2,0.4,0.2,2.4
73,Rico Henry,eng ENG,DF,Brentford,24-220,1997,18.4,25.1,35.4,70.8,424.7,127,11.5,14.1,81.9,10.4,13.5,76.7,2.39,4.84,49.4,0,0.03,-0.03,0.49,1.68,0.65,0.33,2.72
74,Pontus Jansson,se SWE,DF,Brentford,31-000,1991,24.9,33.5,40.9,82,705.6,202.9,9.24,10.8,85.5,18.9,21.7,86.9,5.14,7.67,67,0.04,0.02,0.02,0.08,0.92,0,0,1.61
75,Mathias Jørgensen,dk DEN,DF,Brentford,31-296,1990,4.8,40.8,57.1,71.5,766.3,336,16.7,19.2,87,20,27.1,73.8,3.75,9.17,40.9,0,0.02,-0.02,0.42,2.71,0.63,0.63,2.71
76,Ethan Pinnock,jm JAM,DF,Brentford,28-260,1993,22.7,41,54.1,75.8,827,307,13.7,15.9,85.6,20.8,26.3,79.1,6.08,10.6,57.3,0.04,0.05,-0.01,0.44,2.29,0.31,0.13,2.16
77,Mads Roerslev,dk DEN,DF,Brentford,22-234,1999,10.1,14.5,22.8,63.5,268.5,85.2,5.54,7.13,77.8,6.93,10,69.3,1.78,4.16,42.9,0.1,0.06,0.04,0.5,0.89,0.59,0.5,2.28
78,Finley Stevens,wls WAL,DF,Brentford,18-309,2003,0.2,25,40,62.5,470,255,10,15,66.7,15,20,75,0,5,0,0,0,0,5,0,5,0,10
79,Dominic Thompson,eng ENG,DF,Brentford,21-202,2000,1.6,13.1,25.6,51.2,211.3,57.5,6.25,8.75,71.4,5,6.25,80,1.25,8.13,15.4,0,0,0,0,0,0,0,0.63
80,Álvaro Fernández,es ESP,GK,Brentford,23-306,1998,12,26.8,41.7,64.4,784.3,441.6,5.33,5.5,97,12.3,12.5,98,9.17,23.6,38.9,0,0,0,0,0.83,0,0,0.08
81,Jonas Lössl,dk DEN,GK,Brentford,33-012,1989,2,22,31,71,683,390.5,3.5,3.5,100,8,8,100,10,19,52.6,0,0,0,0,1,0,0,0.5
82,David Raya,es ESP,GK,Brentford,26-151,1995,11,28.4,45.5,62.4,978,668.7,4.36,4.36,100,11,11.3,97.6,12.8,29.5,43.4,0,0,0,0,1.73,0.09,0,0.09
83,Aaron Connolly,ie IRL,FW,Brighton,22-016,2000,1.7,8.82,10.6,83.3,124.7,5.88,5.29,6.47,81.8,3.53,4.12,85.7,0,0,,0,0.24,-0.24,0.59,0,0,0,0
84,Jürgen Locadia,nl NED,FW,Brighton,28-098,1993,0.3,6.67,10,66.7,143.3,0,0,0,,6.67,6.67,100,0,0,,0,0,0,0,0,0,0,0
85,Neal Maupay,fr FRA,FW,Brighton,25-183,1996,17.6,18.1,23.5,77,255.3,40.7,11.1,13.2,83.7,5.11,6.7,76.3,0.8,1.19,66.7,0.11,0.09,0.02,1.08,0.68,0.85,0.06,1.19
86,Jeremy Sarmiento,ec ECU,FW,Brighton,19-242,2002,0.2,25,35,71.4,380,70,15,25,60,10,10,100,0,0,,0,0,0,0,10,0,0,0
87,Leandro Trossard,be BEL,FWMF,Brighton,27-071,1994,19.3,28.7,36.2,79.4,523.8,115.5,13.9,16.2,85.9,9.38,12,78,4.35,5.39,80.8,0.05,0.1,-0.05,1.45,2.64,1.92,0.21,4.25
88,Danny Welbeck,eng ENG,FWMF,Brighton,31-079,1990,5.2,14,17.3,81.1,161,22.5,10.4,11.3,91.5,2.31,2.88,80,0.58,0.77,75,0,0.02,-0.02,0.19,0.38,0.58,0,0.96
89,Alexis Mac Allister,ar ARG,MFFW,Brighton,23-051,1998,9.7,39.8,51.1,77.8,762.2,218,17.6,20.9,84.2,16.5,18.2,90.4,5.46,10.5,52,0.21,0.1,0.1,1.44,5.05,1.55,0.31,5.05
90,Jakub Moder,pl POL,MFFW,Brighton,22-312,1999,15.8,32.2,44,73.1,525.6,153.2,16.3,19.6,82.9,12.2,16.5,73.9,2.72,4.75,57.3,0.19,0.09,0.09,0.7,3.16,0.89,0.13,3.67
91,Taylor Richards,eng ENG,MFFW,Brighton,21-071,2000,0.3,73.3,86.7,84.6,1426.7,366.7,23.3,26.7,87.5,40,46.7,85.7,10,10,100,0,0,0,0,6.67,0,0,6.67
